"variable","description"
"score_extent_of_subcontra.31079","Score Extent of subcontracting between national firms and foreign firms"
"score_extrabudgetary_fund.31083","Score Extrabudgetary funds"
"score_financial_markets_s.31087","Score Financial markets supervisory authority"
"score_freedom_of_movement.31117","Score Freedom of movement of foreigners (entry)"
"score_freedom_of_movement.31118","Score Freedom of movement of nationals (exit)"
"score_functioning_of_labo.31130","Score Functioning of labourmanagement dialogue at national level"
"score_functioning_of_labo.31131","Score Functioning of labourmanagement dialogue within firms"
"score_genderbased_segrega.31135","Score Genderbased segregation"
"score_generally_speaking,.31140","Score Generally speaking, is the banking system mainly made up of cartels or mainly competitive?"
"score_government_budget.31143","Score Government budget"
"score_government_consulta.31146","Score Government consultation with management and labour representatives to steer public labour market policy"
"score_government_venture_.31148","Score Government venture capital incentives"
"score_guaranteed_employme.31152","Score Guaranteed employment for graduates in the public sector"
"score_has_the_middle_clas.31156","Score Has the middle classes standard of living risen or fallen over the last five years?"
"score_have_any_large_publ.31157","Score Have any large public or private firms been declared bankrupt over the last five years?"
"score_have_targeted_suppo.31158","Score Have targeted support measures been put in place for the emerging growth sectors?"
"score_have_the_middle_cla.31159","Score Have the middle classes social standards risen or fallen over the last five years?"
"score_have_the_privatisat.31160","Score Have the privatisations benefited mainly the former company directors or rather new local or foreign players?"
"score_have_the_rules_in_f.31161","Score Have the rules in force when the current head of state or government came to power changed in the last three years to improve the head of state or governments chances of staying in hisher position?"
"score_healthcare_coverage.31170","Score Healthcare coverage"
"score_importance_of_land_.31182","Score Importance of land issues on the political agenda and in the press"
"score_importance_of_publi.31183","Score Importance of public property (central, regional government property, etc)"
"score_importance_of_tradi.31186","Score Importance of traditional collectively owned land (traditional rights, religious rights, community rights, others, etc)"
"score_improved_informatio.31188","Score Improved information systems on the situation of the banks"
"score_in_health_and_educa.31189","Score In health and education"
"score_in_particular,_does.31194","Score In particular, does the government have an environmental protection strategy?"
"score_in_particular,_does.31195","Score In particular, does the government have an international or regional integration strategy?"
"score_in_practice,_admini.31196","Score In practice, administrations capacity to curb tax evasion"
"score_in_practice,_do_non.31197","Score In practice, do nonnationals have the right to purchase (freehold or longterm lease) land in rural areas?"
"score_in_practice,_do_non.31198","Score In practice, do nonnationals have the right to purchase (freehold or longterm lease) landhouses in urban areas?"
"score_in_practice,_ease_o.31200","Score In practice, ease of setting up a local business"
"score_in_practice,_fiscal.31201","Score In practice, fiscal administrations capacity to levy corporate tax on all nonexempt economic sectors"
"score_in_practice,_fiscal.31202","Score In practice, fiscal administrations capacity to levy income tax on all households with formal earnings (excluding measures exempting lowincome households)"
"score_in_practice,_fiscal.31203","Score In practice, fiscal administrations capacity to levy taxes nationwide (excluding legal measures exempting parts of the country for specific reasons)"
"score_in_terms_of_future_.31204","Score In terms of future prospects, do the young peoples hopes look to the country or outside the country?"
"score_are_public_arrangem.31210","Score Are public arrangements in place for formalisationregistration of land rights in rural areas?"
"score_incidence_of_child_.31211","Score Incidence of child labour in urban areas"
"score_independence_of_the.31216","Score Independence of the courts from litigants (local players) in commercial disputes"
"score_independence_of_the.31217","Score Independence of the courts from the government in commercial disputes"
"score_are_public_arrangem.31224","Score Are public arrangements in place for formalisationregistration of land rights in urban and suburban areas?"
"score_industrial_tribunal.31228","Score Industrial tribunals"
"score_informal_microlendi.31233","Score Informal microlending"
"score_insurance_market_su.31251","Score Insurance market supervisory body"
"score_are_the_other_local.31267","Score Are the other local authorities (State in the case of federations, Regions, Provinces, etc.) elected or appointed by central government?"
"score_internal_monitoring.31268","Score Internal monitoring and auditing arrangements for private banks"
"score_internal_monitoring.31269","Score Internal monitoring and auditing arrangements for public banks"
"score_is_aid_to_public_or.31282","Score Is aid to public or private firms (subsidies, de jure or de facto trade protection, financial facilities, etc.) dependent on meeting publicinterest targets?"
"score_is_development_and_.31283","Score Is development and economic growth a government priority, political assertions aside?"
"score_is_economic_policy_.31285","Score Is economic policy subject to an official communication?"
"score_is_government_actio.31288","Score Is government action guided by a longterm strategic vision?"
"score_is_public_or_privat.31289","Score Is public or private business access to mining and operating rights (natural resources, trading, concessions, etc.) dependent on meeting publicinterest targets?"
"score_are_the_results_of_.31290","Score Are the results of local public procurement bids predictable?"
"score_is_society_capable_.31291","Score Is society capable of rallying to take up major domestic or external challenges?"
"score_is_the_capacity_of_.31294","Score Is the capacity of the national authorities hindered by discord between economic, regional or other factions?"
"score_is_the_capacity_of_.31295","Score Is the capacity of the national authorities hindered by internal political dissent?"
"score_is_the_capacity_of_.31296","Score Is the capacity of the public authorities hindered by a lack of regional cooperation?"
"score_is_the_capacity_of_.31297","Score Is the capacity of the public authorities hindered by external factors (regional conflicts, pressure from foreign firms, foreign powers, etc.)?"
"score_is_the_distribution.31298","Score Is the distribution of income an issue in public debates?"
"score_is_the_education_sy.31299","Score Is the education system associated with a longterm vision of skills requirements in the country?"
"score_are_the_results_of_.31302","Score Are the results of national public procurement bids predictable?"
"score_is_the_sovereign_we.31304","Score Is the sovereign wealth fund (SWF) set up to foster takeovers of firms abroad?"
"score_is_the_sovereign_we.31305","Score Is the sovereign wealth fund (SWF) set up to meet a longterm profitability goal?"
"score_is_the_sovereign_we.31306","Score Is the sovereign wealth fund (SWF) set up to meet profitability goals?"
"score_is_the_sovereign_we.31307","Score Is the sovereign wealth fund (SWF) set up to preserve shareholder control of national enterprises?"
"score_is_there_a_national.31308","Score Is there a national mediumsized town planning vision?"
"score_is_there_a_publicat.31309","Score Is there a publication requirement for issuing firms?"
"score_is_there_a_strong_d.31312","Score Is there a strong demand for landincrease in prices in the large towns and cities?"
"score_are_the_ruling_clas.31313","Score Are the ruling classes capable of driving society to take up these challenges?"
"score_is_there_a_strong_d.31314","Score Is there a strong demand for landincrease in prices in the middlesized towns?"
"score_is_there_a_strong_n.31315","Score Is there a strong national sense of identity in the country?"
"score_isdevelopment_and_e.31317","Score Isdevelopment and economic growth a priority for the countrys ruling classes (senior civil servants, academics, journalists, etc.)?"
"score_issue_of_import_lic.31318","Score Issue of import licences"
"score_large_corporations.31332","Score Large corporations"
"score_are_there_any_redis.31337","Score Are there any redistribution mechanisms to help underprivileged regions?"
"score_lending_directed_to.31341","Score Lending directed towards Treasury financing"
"score_level_of_""""largesca.31343","Score Level of """"largescale"""" corruption (between administrations and foreign firms)"
"score_are_there_any_signi.31347","Score Are there any significant rural areas in the country where demand for land is high (competition for land, price increase)?"
"score_level_of_competence.31349","Score Level of competence of bank executives in foreign banks"
"score_level_of_competence.31350","Score Level of competence of bank executives in local banks"
"score_level_of_informatio.31355","Score Level of information on the structure of shareholdings in the subsidiaries of foreign firms"
"score_are_there_any_trans.31356","Score Are there any transfer mechanisms to help underprivileged social groups?"
"score_local_arrangements_.31358","Score Local arrangements for the protection of intellectual property"
"score_main_wage_bargainin.31363","Score Main wage bargaining level"
"score_managed_lending_(by.31364","Score Managed lending (by sector, to public enterprises etc)"
"score_are_there_de_facto_.31365","Score Are there de facto mechanisms to test and evaluate public policies before nation wide implementation?"
"score_mechanisms_for_popu.31369","Score Mechanisms for population participation (other than in elections) in national political decisions (polls, committees, public debates, etc.)"
"score_military_tensions_w.31375","Score Military tensions with other countries (excluding military intervention under international mandate)"
"score_are_there_urban_pla.31376","Score Are there urban planning and development tools (guidelines, strategic planning, master plan) for the large towns and cities?"
"score_national_norms_and_.31391","Score National norms and standards"
"score_oil:_deviation_betw.31396","Score Oil: deviation between local market prices and world prices"
"score_openended_contracts.31398","Score Openended contracts as share of total employment contracts"
"score_openness_of_bank_ca.31401","Score Openness of bank capital to foreign shareholding"
"score_organised_criminal_.31415","Score Organised criminal activity (drugtrafficking, armstrafficking, etc."
"score_over_the_other_arme.31421","Score Over the other armed forces (paramilitary police, official militia, others, etc.)"
"score_at_local,_civil_soc.31422","Score At local, civil society level (informal traditional andor religious associations and NGOs)"
"score_over_the_secret_ser.31423","Score Over the secret services"
"score_percentage_of_land_.31429","Score Percentage of land disputes (urban, suburban and rural) to the total number of disputes handled by the courts"
"score_at_local,_individua.31434","Score At local, individual level (neighbourhood, village, etc.)"
"score_political_parties.31436","Score Political parties"
"score_political_parties_a.31437","Score Political parties acceptance or dispute of most recent change at highest level of government"
"score_population_acceptan.31440","Score Population acceptance or dispute of most recent change at highest level of government"
"score_at_regional_and_nat.31441","Score At regional and national civil society level (NGOs)"
"score_positioning_of_fore.31444","Score Positioning of foreign executives in foreign firms"
"score_positioning_of_fore.31445","Score Positioning of foreign executives in local firms"
"score_power_of_control_ov.31446","Score Power of control over the executive body"
"score_power_to_table_bill.31447","Score Power to table bills or propose measures to the executive body"
"score_practice_of_guarant.31449","Score Practice of guaranteed employment in the private sector (""""lifelong employment"""" type)"
"score_private_or_private_.31460","Score Private or private type of public property use"
"score_professional_associ.31468","Score Professional associations (lawyers, archetcts, doctors, etc.)"
"score_proportion_of_the_p.31484","Score Proportion of the populations with no formally recognised land rights in rural areas"
"score_proportion_of_the_p.31485","Score Proportion of the populations with no formally recognised land rights in urban and suburban areas"
"score_protection_against_.31489","Score Protection against individual dismissal"
"score_protection_against_.31490","Score Protection against mass redundancies"
"score_public_shareholders.31508","Score Public shareholders (government, etc)"
"score_quality_of_microlen.31513","Score Quality of microlending guarantees (informal or institutional)"
"score_quantitative_credit.31521","Score Quantitative credit controls"
"score_reinforcement_of_in.31545","Score Reinforcement of internal bank control"
"score_religious_segregati.31556","Score Religious segregation"
"score_respect_for_contrac.31565","Score Respect for contracts between local private players and foreigners"
"score_respect_for_contrac.31567","Score Respect for contracts with private mediation (lawyers, etc.)"
"score_respect_for_law_in_.31570","Score Respect for law in relations between citizens and administrations"
"score_respect_for_minorit.31574","Score Respect for minorities (ethnic, religious, linguistic, etc.)"
"score_right_of_establishm.31583","Score Right of establishment for foreign banks (deposit banks and investment banks)"
"score_right_to_organise_t.31584","Score Right to organise trade unions"
"score_role_of_family,_cla.31589","Score Role of family, clan and social networks in recruitment and promotion in private firms"
"score_role_of_family,_cla.31590","Score Role of family, clan and social networks in recruitment and promotion in the administration"
"score_role_of_family,_cla.31591","Score Role of family, clan and social networks in the selection of highlevel politicians (ministers, etc.)"
"score_role_of_family,_cla.31592","Score Role of family, clan and social networks in the selection of senior civil servants"
"score_role_of_family,_cla.31593","Score Role of family, clan and social networks in the selection of senior corporate management"
"score_segregation_based_o.31625","Score Segregation based on regional identities within the country"
"score_share_of_distributi.31636","Score Share of distribution delivered by large foreign firms"
"score_share_of_distributi.31637","Score Share of distribution delivered by large national firms"
"score_share_of_supermarke.31649","Score Share of supermarkets in the retail trade (household consumption)"
"score_banking_supervisory.31651","Score Banking supervisory authority"
"score_bankruptcy_law.31674","Score Bankruptcy law"
"score_societys_responsive.31683","Score Societys responsiveness to legal and institutional change and innovation"
"score_societys_responsive.31684","Score Societys responsiveness to managerial change and innovation"
"score_basic_economic_and_.31685","Score Basic economic and financial statistics (national accounts, price indices, foreign trade, currency and credit, etc)"
"score_societys_responsive.31686","Score Societys responsiveness to technological change and innovation"
"score_solidarity_from_tra.31687","Score Solidarity from traditional informal or quasi informal (religious, etc.) institutions"
"score_staff_mobility_in_t.31689","Score Staff mobility in the formal sector"
"score_standard_accounting.31693","Score Standard accounting system (large firms)"
"score_state_control_over_.31698","Score State control over Internet access"
"score_state_primary_and_s.31700","Score State primary and secondary rural education system"
"score_state_primary_and_s.31701","Score State primary and secondary urban education system"
"score_state_primary_healt.31702","Score State primary healthcare system"
"score_state_university_sy.31703","Score State university system (education and research)"
"score_by_law,_do_any_econ.31708","Score By law, do any economic sectors benefit from fiscal exemptions?"
"score_strikes_in_the_priv.31717","Score Strikes in the private sector"
"score_strikes_in_the_publ.31718","Score Strikes in the public sector"
"score_subsidies_on_commod.31725","Score Subsidies on commodities"
"score_the_capacity_of_the.31751","Score The capacity of the political authorites to secure an economic benefit (jobs, income, etc.) for a large proportion of the population"
"score_the_capacity_of_the.31752","Score The capacity of the political authorities to maintain a feeling of national pride"
"score_the_capacity_of_the.31754","Score The capacity of the political authorities to provide broadbased access to education, healthcare, culture, etc. for the population"
"score_the_legality_of_the.31755","Score The legality of the process appointing these political authorities"
"score_tighter_prudential_.31758","Score Tighter prudential rules for the financial system"
"score_traditional_or_mode.31767","Score Traditional or modern mechanisms for population participation (other than in elections) in local political decisions (polls, committees, consultations, public debates, etc.)"
"score_transparency_of_man.31778","Score Transparency of management of income from mining natural resources (oil, other mining resources, etc.)"
"score_university_degree_i.31789","Score University degree irregularities (exam fraud, cheating, buying degrees, etc.)"
"score_use_of_income_from_.31792","Score Use of income from mining oil and other mining resources"
"score_violence_over_acces.31794","Score Violence over access to natural resources (oil, mining resources, etc.)"
"score_violent_actions_by_.31795","Score Violent actions by underground political organisations"
"score_violent_labour_disp.31799","Score Violent labour disputes"
"score_violent_social_conf.31802","Score Violent social conflicts over land matters"
"score_vocational_training.31805","Score Vocational training matched to firms requirements?"
"score_capacity_of_the_pol.31812","Score Capacity of the political authorities to reform these different armed forces"
"score_young_graduates_wor.31818","Score Young graduates working in the informal sector"
"score_central_bank_indepe.30823","Score Central Bank independence"
"score_centralisation__dec.30824","Score Centralisation  decentralisation: autonomy in tax matters"
"score_centralisation__dec.30825","Score Centralisation  decentralisation: devolution of local authorities"
"score_child_labour.30830","Score Child labour"
"score_child_labour_safegu.30834","Score Child labour safeguards"
"score_compensation_in_the.30841","Score Compensation in the event of de jure or de facto expropriation (by the Government) of instruments of production?"
"score_compensation_in_the.30842","Score Compensation in the event of de jure or de facto expropriation (by the Government) of real property"
"score_competition_between.30846","Score Competition between businesses: competition regulation arrangements"
"score_competition_in_dist.30847","Score Competition in distribution (household consumption)"
"score_competition_within_.30849","Score Competition within the banking system"
"score_competition:_produc.30850","Score Competition: productive sector: ease of market entry for new firms"
"score_compulsory_publicat.30851","Score Compulsory publication of information by firms at the time of share issues"
"score_concentration_of_or.30852","Score Concentration of organisations within the major stakeholders"
"score_concentration_of_th.30853","Score Concentration of the media"
"score_acceptance_of_forei.30855","Score Acceptance of foreign executives in foreign firms"
"score_consistency_and_con.30856","Score Consistency and continuity of government action in economic matters"
"score_consistency,_contin.30862","Score Consistency, continuity and predictability of these tax reforms"
"score_convertibility_and_.30866","Score Convertibility and WTO membership"
"score_acceptance_of_forei.30868","Score Acceptance of foreign executives in local firms"
"score_coordination_betwee.30878","Score Coordination between ministries and within the administrations"
"score_acceptance_or_conte.30881","Score Acceptance or contestation of most recent change at highest level of government"
"score_corruption__corrupt.30882","Score Corruption  Corruption"
"score_de_facto_equality_o.30887","Score De facto equality of treatment for foreigners"
"score_decisionmaking_capa.30894","Score Decisionmaking capacity of the political authorities in economic matters (responsibility, rapidity, etc)"
"score_decompartmentalisat.30895","Score Decompartmentalisation of the financial institutions"
"score_degree_of_applicati.30896","Score Degree of application and rapidity of legal rulings on commercial matters"
"score_degree_of_applicati.30897","Score Degree of application and speed of rulings"
"score_degree_of_concentra.30898","Score Degree of concentration of private media"
"score_degree_of_municipal.30899","Score Degree of municipal authorities autonomy in tax matters"
"score_degree_of_other_loc.30900","Score Degree of other local authorities autonomy in tax matters (States in the case of federations, Regions, Provinces, etc)"
"score_access_of_local_ban.30902","Score Access of local banking firms to international bank loans"
"score_dialogue_structures.30908","Score Dialogue structures headed by the political authority to find a common interest among stakeholders"
"score_direct_subsidies_on.30917","Score Direct subsidies on prices of primary products"
"score_direct_subsidies_on.30918","Score Direct subsidies on primary product prices for the benefit of the consumer (inversed score)"
"score_dispersed_shareowne.30931","Score Dispersed shareownership"
"score_dissemination_of_te.30932","Score Dissemination of technology, innovation"
"score_do__parents_invest_.30935","Score Do  parents invest a great deal in their childrens education?"
"score_do_contracts_betwee.30940","Score Do contracts between private agents tend to be oral or written"
"score_do_parents_steer_th.30944","Score Do parents steer their children more towards the civil service or the private sector?"
"score_do_the_authorities_.30946","Score Do the authorities act on the basis of a strategic vision?"
"score_do_the_countrys_edu.30947","Score Do the countrys education systems bolster the reproduction of """"closed club"""" elites or are they an instrument for social mobility?"
"score_access_without_disc.30948","Score Access without discrimination to healthcare and public and private employment"
"score_do_the_organisation.30956","Score Do the organisations that embody the interests of these major stakeholders represent all the interests of the group in question?"
"score_do_the_public_autho.30958","Score Do the public authorities support private or public research & development?"
"score_do_young_graduates_.30963","Score Do young graduates post an aboveaverage unemployment rate?"
"score_does_the_political_.30980","Score Does the political authority have an autonomous decisionmaking capacity compared with the different stakeholders?"
"score_does_the_political_.30982","Score Does the political authority organise dialogue structures among the main stakeholders?"
"score_action_aimed_at_imp.30990","Score Action aimed at improving the training of civil servants"
"score_educating_the_elite.30991","Score Educating the elite"
"score_effectiveness_of_pu.30998","Score Effectiveness of public action: tax system"
"score_adaptation_of_the_e.31002","Score Adaptation of the education system to the labour market"
"score_administered_prices.31011","Score Administered prices and market prices"
"score_employment_contract.31015","Score Employment contract protection"
"score_equality_of_treatme.31026","Score Equality of treatment between nationals and foreigners as regards commercial disputes"
"score_equity_in_access_to.31028","Score Equity in access to basic public goods: education, healthcare, water and electricity"
"score_evolution_in_the_ef.31035","Score Evolution in the effectiveness of public action as a whole in the past 3 years"
"score_evolution_of_freedo.31036","Score Evolution of freedoms and civil society autonomy in the past 3 years"
"score_evolution_of_petty_.31037","Score Evolution of petty and largescale corruption in the past 3 years"
"score_evolution_of_politi.31038","Score Evolution of political rights in the past 3 years"
"score_evolution_of_the_ef.31039","Score Evolution of the efficiency of the tax system in the past 3 years"
"score_evolution_of_the_in.31040","Score Evolution of the independence and efficiency of the justice system in the past 3 years"
"score_evolution_of_the_se.31041","Score Evolution of the security in the past 3 years"
"score_evolution_of_the_se.31042","Score Evolution of the security of transactions in the past 3 years"
"score_evolution_of_transp.31043","Score Evolution of transparency of public action in the past 3 years"
"score_exchange_rate_liber.31044","Score Exchange rate liberalisation"
"score_existence_and_impor.31050","Score Existence and importance of a traditional system of property rights"
"score_existence_and_obser.31051","Score Existence and observance of labour legislation and measures"
"score_existence_of_arrang.31053","Score Existence of arrangements to combat abuses of dominant positions"
"score_existence_of_simpli.31063","Score Existence of simplified legal procedures to restructure rather than put into liquidation?"
"score_adult_vocational_tr.31070","Score Adult vocational training"
"score_agricultural_sector.31080","Score Agricultural sector: concentration of agricultural land"
"score_external_pressure.31081","Score External pressure"
"score_external_public_sec.31082","Score External public security"
"score_facilitation_of_acc.31084","Score Facilitation of access by businesses to the money market"
"score_family_shareholders.31085","Score Family shareholders"
"score_financial_arrangeme.31086","Score Financial arrangements encouraging venture capital"
"score_agricultural_sector.31091","Score Agricultural sector: public property"
"score_foreign__large_corp.31092","Score Foreign  large corporations and banks"
"score_foreign_minorities_.31094","Score Foreign minorities and minorities of foreign origin"
"score_form_of_contracts_b.31095","Score Form of contracts between private agents"
"score_formal_and_informal.31096","Score Formal and informal networks of influence"
"score_formal_or_informal_.31097","Score Formal or informal organisations"
"score_free_movement_of_pe.31098","Score Free movement of persons, information, etc"
"score_agricultural_sector.31103","Score Agricultural sector: security of rights and property transactions"
"score_agricultural_sector.31120","Score Agricultural sector: traditional collective property"
"score_freedom_to_organise.31129","Score Freedom to organise trade unions"
"score_allocated_lending_(.31132","Score Allocated lending (by sector, to stateowned enterprises etc)"
"score_functioning_of_soci.31133","Score Functioning of social dialogue at national level"
"score_functioning_of_soci.31134","Score Functioning of social dialogue within firms"
"score_generally_speaking,.31141","Score Generally speaking, is the functioning of the banking system mainly cartelised or mainly competitive?"
"score_government_capacity.31144","Score Government capacity for autonomous decisionmaking"
"score_government_respect_.31147","Score Government respect for contracts"
"score_governmentcitizen_r.31149","Score Governmentcitizen relations"
"score_granting_of_import_.31150","Score Granting of import licences"
"score_guarantee_of_employ.31151","Score Guarantee of employment for graduates in the public sector"
"score_guarantees_implicit.31153","Score Guarantees implicit in this traditional credit system"
"score_application_of_law_.31155","Score Application of law on bankruptcies"
"score_have_there_been_any.31162","Score Have there been any private bankruptcies in the past 5 years?"
"score_have_there_been_any.31163","Score Have there been any publicsector business bankruptcies in the past 5 years?"
"score_have_there_been_ref.31164","Score Have there been reforms aimed at desegmentation of the labour market in the past three years?"
"score_have_there_been_ref.31165","Score Have there been reforms to make the formal labour market more flexible in the past 3 years"
"score_if_a_traditional_sy.31173","Score If a traditional system exists, does it ensure security of property rights?"
"score_illegal_organisatio.31174","Score Illegal organisations"
"score_are_agricultural_la.31176","Score Are agricultural land property rights mainly traditional (informal or quasiinformal) or are they formal?"
"score_implementation_of_t.31179","Score Implementation of the privatisation programme"
"score_importance_of_custo.31180","Score Importance of customs evasion (smuggling, underdeclaration, etc)"
"score_importance_of_tax_e.31184","Score Importance of tax evasion in the formal sector"
"score_importance_of_the_i.31185","Score Importance of the informal economy"
"score_are_development_and.31187","Score Are development and economic growth a priority for the local public elites (senior civil servants, academics, etc)?"
"score_in_particular,_do_t.31192","Score In particular, do the authorities have a strategy for the integration of the country at world or regional level?"
"score_in_particular,_do_t.31193","Score In particular, do the authorities have an environmental protection strategy?"
"score_are_development_and.31199","Score Are development and economic growth a priority for the political authority, over and above the declarations?"
"score_in_the_case_of_the_.31205","Score In the case of the written contracts, are these drafted without mediation or with private mediation (lawyers)?"
"score_in_the_past_3_years.31208","Score In the past 3 years, has the general situation regarding security of transactions in your view  substantially improved, moderately improved , remained stable , deteriorated , severely deteriorated ?"
"score_in_the_past_3_years.31209","Score In the past 3 years, has the transparency of public action in your view substantially  improved, moderately improved , remained stable , deteriorated , severely deteriorated ?"
"score_indexation_of_wages.31226","Score Indexation of wages on inflation"
"score_indigenous_regional.31227","Score Indigenous regional and ethnic groups"
"score_informal_labour_mar.31231","Score Informal labour market"
"score_information_on_the_.31234","Score Information on the quality of the goods: international norms and standards"
"score_information_on_the_.31235","Score Information on the quality of the goods: national norms and standards"
"score_information_on_the_.31236","Score Information on the situation of firms"
"score_information_on_the_.31237","Score Information on the situation of the banks"
"score_information_on_the_.31238","Score Information on the structure of shareholdings in local firms"
"score_innovation:_venture.31239","Score Innovation: venture capital"
"score_institutional_solid.31248","Score Institutional solidarity"
"score_insurance_companies.31249","Score Insurance companies"
"score_insurance_companies.31250","Score Insurance companies, pension funds"
"score_intellectual_proper.31254","Score Intellectual property"
"score_are_the_organisatio.31257","Score Are the organisations that represent the interests of these major stakeholders formal or informal?"
"score_internal_control_ar.31264","Score Internal control arrangements for private banks"
"score_internal_control_ar.31265","Score Internal control arrangements for publiclyowned banks"
"score_internal_control_of.31266","Score Internal control of banks"
"score_internal_public_sec.31270","Score Internal public security"
"score_international_norms.31273","Score International norms and standards (ISO, Codex, etc)"
"score_interpenetration_of.31274","Score Interpenetration of local capital (private andor public)"
"score_introducing_fixedte.31276","Score Introducing fixedterm contracts"
"score_are_the_other_local.31279","Score Are the other local authorities (States in the case of federations, Regions, Provinces, etc) elected or appointed by central government?"
"score_is_agricultural_lan.31281","Score Is agricultural landed property rather dispersed or concentrated?"
"score_is_each_of_the_stak.31284","Score Is each of the stakeholders with the most weight represented by a high or low number of organisations?"
"score_is_the_entire_proce.31300","Score Is the entire process (dialogue and decision) communicated to the public (press, television, debates, etc)?"
"score_is_the_security_of_.31301","Score Is the security of FORMAL property rights and transactions assured?"
"score_is_the_security_of_.31303","Score Is the security of TRADITIONAL property rights and transactions assured?"
"score_is_there_an_obligat.31316","Score Is there an obligation on issuing firms to publish?"
"score_labour_courts.31321","Score Labour courts"
"score_labour_inspectorate.31324","Score Labour inspectorate, labour courts, etc"
"score_large_landowners.31333","Score Large landowners"
"score_law_on_bankruptcies.31334","Score Law on bankruptcies"
"score_lender_guarantees:_.31340","Score Lender guarantees: banking system (mortgages etc)"
"score_lending_entirely_di.31342","Score Lending entirely directed towards Treasury financing"
"score_level_of_""""petty""""_.31345","Score Level of """"petty"""" corruption (between citizens and the administration)"
"score_level_of_competence.31348","Score Level of competence of bank executives"
"score_level_of_cooperatio.31351","Score Level of cooperation of the local customs administration with the customs administrations of other countries (rules of origin, detection of fraud, etc)"
"score_level_of_government.31352","Score Level of government intervention in allocation of lending"
"score_local_arrangements_.31357","Score Local arrangements for protection of intellectual property"
"score_local_authorities_(.31359","Score Local authorities (regions, states in the case of federal states, etc)"
"score_local_large_corpora.31360","Score Local large corporations and banks"
"score_longterm_strategic_.31362","Score Longterm strategic vision of the authorities"
"score_measures_to_reduce_.31366","Score Measures to reduce child labour or introduce child labour safeguards"
"score_measures_to_reduce_.31367","Score Measures to reduce segmentation by gender"
"score_measures_to_reduce_.31368","Score Measures to reduce segmentation by origin"
"score_military_tensions_w.31374","Score Military tensions with other countries"
"score_military_tensions_w.31377","Score Military tensions with the international community"
"score_more_precisely,_ind.31382","Score More precisely, independence of courts ruling on bankruptcies"
"score_multisector_groups_.31385","Score Multisector groups (of Korean Choebol type)"
"score_army_andor_security.31389","Score Army andor security services"
"score_oil:_pumpprice_diff.31397","Score Oil: pumpprice differential versus world prices"
"score_arrangements_for_th.31400","Score Arrangements for the protection of intellectual property"
"score_openness_of_bank_ca.31402","Score Openness of bank capital to foreign shareholdings"
"score_openness_of_public_.31403","Score Openness of public services to local or foreign private capital (BOT, concessions, etc)"
"score_openness_of_the_pri.31404","Score Openness of the privatisation programme"
"score_openness_to_employm.31405","Score Openness to employment of foreign executives"
"score_openness_to_foreign.31406","Score Openness to foreign capital and loans"
"score_other_institutional.31416","Score Other institutional investors"
"score_other_measures.31417","Score Other measures"
"score_pension_funds.31428","Score Pension funds"
"score_polarisation_of_the.31433","Score Polarisation of the ministries and administrations towards the executive"
"score_political_parties_i.31438","Score Political parties in a multiparty system"
"score_political_rights_an.31439","Score Political rights and functioning of political institutions"
"score_practice_of_guarant.31450","Score Practice of guaranteed employment in the private sector (of the """"lifelong employment"""" type)"
"score_pressure_from_a_reg.31453","Score Pressure from a regional institutional framework (e.g. Mercosur, NAFTA, Euromed)"
"score_pressure_from_inter.31454","Score Pressure from international financial institutions (IMF, World Bank)"
"score_pressure_from_major.31455","Score Pressure from major foreign corporations"
"score_pressure_stemming_f.31457","Score Pressure stemming from WTO membership"
"score_privatesector_emplo.31461","Score Privatesector employees"
"score_privatisation_mainl.31462","Score Privatisation mainly benefiting former managers or mainly benefiting new players, local or foreign"
"score_authority_of_the_po.31463","Score Authority of the political powers over the administration"
"score_proportion_of_admin.31471","Score Proportion of administered prices"
"score_proportion_of_admin.31472","Score Proportion of administered prices (inversed score)"
"score_award_of_public_pro.31474","Score Award of public procurement contracts and delegation of public service"
"score_proportion_of_the_m.31481","Score Proportion of the media under de jure or de facto Government control"
"score_proportion_of_the_p.31482","Score Proportion of the population for which children are a source of income (children not attending school)"
"score_award_of_public_pro.31483","Score Award of public procurement contracts and public service delegation to foreign firms"
"score_proportion_of_workf.31488","Score Proportion of workforce in civil service and publicsector enterprises"
"score_prudential_rules:_d.31491","Score Prudential rules: difference between local and international standards"
"score_prudential_rules:_d.31492","Score Prudential rules: difference between local and international standards regarding capital adequacy (Cooke ratio, etc)"
"score_prudential_rules:_d.31493","Score Prudential rules: difference between local and international standards regarding rules limiting banks external exposure"
"score_award_of_public_pro.31495","Score Award of public procurement contracts and public service delegation to local firms"
"score_prudential_rules:_d.31496","Score Prudential rules: difference between local and international standards regarding rules limiting concentration of loans to particular borrowers"
"score_prudential_rules:_d.31497","Score Prudential rules: difference between local and international standards regarding rules limiting sectoral concentration of the loans granted"
"score_public_administrati.31498","Score Public administration reforms in the past 3 years"
"score_public_confidence_i.31500","Score Public confidence in the administration"
"score_public_freedoms_and.31501","Score Public freedoms and the autonomy of the civil society"
"score_balance_of_migratio.31506","Score Balance of migration for movements of SKILLED individuals"
"score_public_shareholders.31509","Score Public shareholders (government, etc+C76)"
"score_publicsector_employ.31512","Score Publicsector employees"
"score_balance_of_migratio.31517","Score Balance of migration for movements of UNSKILLED individuals"
"score_quality_of_the_supp.31520","Score Quality of the supply of public goods: education and basic health"
