country,countryiso3,t.pm2.5.c.2016,u.pm2.5.c.2016,r.pm2.5.c.2016,t.ap.d.2016.total,t.ap.d.2016.lri,t.ap.d.2016.tblc,t.ap.d.2016.ihd,t.ap.d.2016.stroke,t.ap.d.2016.copd,ap.d.100k.2016.total,ap.d.100k.2016.lri,ap.d.100k.2016.tblc,ap.d.100k.2016.ihd,ap.d.100k.2016.stroke,ap.d.100k.2016.copd,ap.d.100k.as.2016.total,ap.d.100k.as.2016.lri,ap.d.100k.as.2016.tblc,ap.d.100k.as.2016.ihd,ap.d.100k.as.2016.stroke,ap.d.100k.as.2016.copd,t.ap.dal.2016.total,t.ap.dal.2016.lri,t.ap.dal.2016.tblc,t.ap.dal.2016.ihd,t.ap.dal.2016.stroke,t.ap.dal.2016.copd,ap.dal.100k.2016.total,ap.dal.100k.2016.lri,ap.dal.100k.2016.tblc,ap.dal.100k.2016.ihd,ap.dal.100k.2016.stroke,ap.dal.100k.2016.copd,ap.dal.100k.as.2016.total,ap.dal.100k.as.2016.lri,ap.dal.100k.as.2016.tblc,ap.dal.100k.as.2016.ihd,ap.dal.100k.as.2016.stroke,ap.dal.100k.as.2016.copd,t.ap.yll.2016.total,t.ap.yll.2016.lri,t.ap.yll.2016.tblc,t.ap.yll.2016.ihd,t.ap.yll.2016.stroke,t.ap.yll.2016.copd,t.hap.d.2016.total,t.hap.d.2016.lri,t.hap.d.2016.tblc,t.hap.d.2016.ihd,t.hap.d.2016.stroke,t.hap.d.2016.copd,hap.d.100k.2016.total,hap.d.100k.2016.lri,hap.d.100k.2016.tblc,hap.d.100k.2016.ihd,hap.d.100k.2016.stroke,hap.d.100k.2016.copd,hap.d.100k.as.2016.total,hap.d.100k.as.2016.lri,hap.d.100k.as.2016.tblc,hap.d.100k.as.2016.ihd,hap.d.100k.as.2016.stroke,hap.d.100k.as.2016.copd,t.hap.dal.2016.total,t.hap.dal.2016.lri,t.hap.dal.2016.tblc,t.hap.dal.2016.ihd,t.hap.dal.2016.stroke,t.hap.dal.2016.copd,hap.dal.100k.2016.total,hap.dal.100k.2016.lri,hap.dal.100k.2016.tblc,hap.dal.100k.2016.ihd,hap.dal.100k.2016.stroke,hap.dal.100k.2016.copd,hap.dal.100k.as.2016.total,hap.dal.100k.as.2016.lri,hap.dal.100k.as.2016.tblc,hap.dal.100k.as.2016.ihd,hap.dal.100k.as.2016.stroke,hap.dal.100k.as.2016.copd
Finland,FIN,5.9,6.5,5.5,1028,12,52,684,207,72,19,0,1,12,4,1,7,0,0,5,1,1,17598,193,1103,10979,3622,1702,320,4,20,199,66,31,150,2,10,93,31,15,16358,187,1088,10840,3010,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,FJI,10.2,10.5,9.7,246,24,3,189,14,17,27,3,0,21,2,2,35,3,0,27,2,3,7808,1054,76,5682,464,532,869,117,9,632,52,59,981,123,10,712,61,76,7497,1044,76,5667,374,336,501,94,15,310,30,51,56,10,2,35,3,6,73,13,2,43,4,9,16724,4224,445,9372,870,1603,1861,470,50,1043,97,178,2095,491,57,1172,114,230
France,FRA,11.6,12.4,9.9,16294,1993,2401,6483,2829,2587,25,3,4,10,4,4,10,1,2,4,2,1,269402,23521,58397,103036,48084,36364,416,36,90,159,74,56,216,16,55,84,37,25,256633,23075,57774,101173,40024,34587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),FSM,10.2,10.5,10.1,26,4,1,12,6,3,25,4,1,12,6,3,41,5,1,20,10,5,812,192,22,336,172,90,774,183,21,321,164,85,1103,183,32,499,253,136,779,191,22,335,163,67,80,19,6,27,18,11,76,18,5,26,17,10,125,24,9,44,28,19,2711,964,160,740,481,341,2583,919,153,706,458,325,3516,917,236,1099,705,518
Gabon,GAB,38.5,37.8,38.8,675,310,13,182,113,57,34,16,1,9,6,3,52,20,1,16,10,5,24365,15538,405,4086,2753,1583,1231,785,20,206,139,80,1469,723,33,344,231,137,23708,15500,402,4058,2638,1110,412,225,12,79,56,40,21,11,1,4,3,2,31,15,1,7,5,4,16165,11361,374,1833,1383,1096,816,574,19,93,70,55,929,526,30,153,115,95
United Kingdom of Great Britain and Northern Ireland,GBR,10.5,10.6,8.4,21135,3657,2225,7943,3037,4273,32,6,3,12,5,6,14,2,2,6,2,3,368075,44515,45118,148604,52363,77474,559,68,69,226,80,118,300,32,38,130,41,59,346478,44248,44415,146582,44539,66694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,GEO,21.2,24,17.9,4665,103,118,2868,1238,338,119,3,3,73,32,9,66,2,2,40,17,5,94238,3068,3241,56069,25091,6770,2401,78,83,1428,639,172,1536,70,57,904,399,106,92136,3021,3207,55826,23994,6088,2954,115,169,1548,787,335,75,3,4,39,20,9,42,2,3,22,11,5,62219,3420,4638,30970,16046,6575,1585,87,118,789,409,167,1035,78,82,506,259,102
Ghana,GHA,31.9,31.1,34,11739,5353,58,3197,2458,674,42,19,0,11,9,2,85,33,0,26,20,6,425931,252019,1814,83266,68793,20040,1510,893,6,295,244,71,2199,997,12,581,465,144,419049,251491,1790,82805,67134,15830,20988,10775,153,4581,4181,1298,74,38,1,16,15,5,149,67,1,37,33,11,794102,510990,4797,119382,115746,38310,2815,1812,17,423,410,136,3966,2006,31,833,780,275
Guinea,GIN,22.4,22.2,22.6,5065,2608,11,1296,808,342,41,21,0,10,7,3,81,31,0,26,16,7,233861,163139,427,35930,24353,10012,1887,1316,3,290,196,81,2322,1135,6,608,395,178,231441,162921,413,35759,23840,8508,12899,7668,47,2424,1853,907,104,62,0,20,15,7,196,90,1,49,36,20,636520,482074,1751,66654,54893,26415,5135,3889,14,538,443,213,5946,3333,26,1136,890,470
Gambia,GMB,32.2,32.3,31.7,760,391,3,218,100,49,37,19,0,11,5,2,93,35,0,35,15,8,34093,23649,97,5865,3079,1403,1672,1160,5,288,151,69,2465,1113,11,776,371,194,33705,23611,95,5831,2996,1171,1540,879,9,356,193,104,76,43,0,17,9,5,182,77,1,57,29,18,72450,53521,290,9513,5812,2989,3554,2626,14,467,285,147,4962,2496,34,1266,703,413
Guinea-Bissau,GNB,27.1,26.5,27.6,692,370,3,175,101,43,38,20,0,10,6,2,78,29,0,27,15,7,33962,24972,81,4620,2972,1317,1870,1375,4,254,164,73,2219,1101,9,585,353,171,33516,24941,78,4588,2873,1035,1573,943,9,307,212,102,87,52,0,17,12,6,169,73,1,47,31,17,82130,63862,286,8045,6098,3084,4523,3517,16,443,336,170,5097,2802,32,1025,726,402
Equatorial Guinea,GNQ,45.9,49.1,45.5,624,373,5,133,73,40,51,31,0,11,6,3,92,41,1,27,14,9,31688,24109,188,3877,2269,1245,2594,1974,15,317,186,102,3008,1725,31,653,368,231,31334,24090,185,3860,2210,988,811,516,9,142,88,56,66,42,1,12,7,5,117,56,2,29,17,12,42522,33535,328,4152,2717,1701,3481,2745,27,340,222,139,3914,2388,55,698,438,316
Greece,GRC,15.7,16.4,13.5,6956,949,715,2806,1444,1041,62,8,6,25,13,9,22,3,3,10,4,3,117274,11042,15919,50136,21402,18774,1049,99,142,448,191,168,504,40,77,236,81,70,108313,10988,15753,49585,19320,12667,1838,382,377,465,269,346,16,3,3,4,2,3,6,1,2,2,1,1,31611,4419,8391,8546,3926,6165,283,40,75,76,35,55,137,16,41,41,16,23
Grenada,GRD,21.6,21.8,20.4,42,11,2,19,8,3,39,10,2,18,7,2,41,10,2,19,8,3,976,241,41,478,157,60,910,225,38,445,146,56,993,229,44,496,163,61,955,239,40,475,149,51,6,2,0,2,1,0,5,2,0,2,1,0,6,2,0,2,1,0,137,50,11,47,16,11,128,46,10,44,15,10,138,47,12,49,17,11
Guatemala,GTM,23.6,24.2,21,3444,1410,48,1186,451,349,21,9,0,7,3,2,32,11,0,12,4,3,104157,57339,1226,27464,11055,7072,628,346,7,166,67,43,809,350,12,269,107,71,101978,57124,1208,27213,10536,5896,5712,2899,139,1401,630,644,34,17,1,8,4,4,51,23,1,14,6,6,187262,118794,3537,33007,15489,13059,1129,716,21,199,93,79,1395,722,35,322,150,130
Guyana,GUY,20.5,21.6,17.4,347,48,3,187,85,25,45,6,0,24,11,3,65,9,1,34,16,5,10133,1805,85,5341,2295,606,1310,233,11,691,297,78,1624,262,14,855,385,108,10007,1797,84,5322,2247,557,281,62,5,121,66,27,36,8,1,16,8,3,52,12,1,21,12,6,8563,2338,151,3537,1806,660,1107,302,19,457,234,85,1354,339,25,560,298,118
Honduras,HND,20.1,21.5,18.9,1671,148,39,1037,208,239,18,2,0,11,2,3,29,2,1,18,4,4,48358,9029,1020,26920,6192,5196,531,99,11,295,68,57,744,95,18,441,98,93,47077,8959,1009,26770,5882,4457,2269,306,113,1131,273,447,25,3,1,12,3,5,38,4,2,20,5,8,71088,18848,2955,30009,8154,9703,780,207,32,329,89,106,1063,197,52,488,128,173
Croatia,HRV,17,17.6,15.8,2937,98,293,1590,649,307,70,2,7,38,15,7,28,1,3,15,6,3,53228,1595,7142,27309,11622,5560,1263,38,170,648,276,132,625,22,92,322,129,60,50616,1565,7063,26998,10362,4627,801,47,183,303,143,124,19,1,4,7,3,3,8,0,2,3,1,1,15470,755,4453,5346,2481,2220,367,18,106,127,59,53,186,10,57,65,28,24
Haiti,HTI,14.6,14.7,13.3,4132,992,46,1857,966,271,38,9,0,17,9,3,57,10,1,27,14,4,155491,65184,1246,53319,28734,7009,1433,601,11,492,265,65,1757,529,18,728,384,99,154170,65032,1226,53131,28275,6506,11204,3771,259,3816,2500,857,103,35,2,35,23,8,149,38,4,57,37,13,466143,248803,7033,108754,74018,22219,4297,2294,65,1003,682,205,4987,2016,100,1489,988,313
Hungary,HUN,15.6,16.3,14.4,8065,182,843,5056,1057,928,83,2,9,52,11,10,39,1,5,24,5,5,159884,3554,21575,91299,22400,21055,1639,36,221,936,230,216,888,26,126,496,124,117,153421,3484,21395,90580,19456,18505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,IDN,15.6,16.4,13.2,95156,7239,3118,47473,27995,9331,36,3,1,18,11,4,51,4,2,25,15,6,2953382,388432,87752,1373186,804551,299461,1131,149,34,526,308,115,1363,153,41,634,379,156,2815861,386037,87456,1365749,775632,200987,133607,16799,9884,52384,37070,17471,51,6,4,20,14,7,71,8,5,27,20,11,4426747,908961,278868,1540933,1067739,561706,1695,348,107,590,409,215,2022,358,131,706,496,292
India,IND,65.2,68,55.9,1087018,237979,27235,389848,142875,289081,82,18,2,29,11,22,109,24,3,37,14,31,33727823,9164471,829121,11714722,4064374,7955135,2547,692,63,885,307,601,3038,768,74,1041,371,784,31330395,9122718,824231,11663321,3927882,5792244,1085867,258172,33002,349307,138645,306740,82,19,2,26,10,23,110,26,3,33,14,33,34534183,9987519,1007640,10571632,3876644,8361630,2608,754,76,798,293,631,3115,836,90,937,354,826
Ireland,IRL,8.3,8.7,7.6,956,87,86,466,130,187,20,2,2,10,3,4,12,1,1,6,2,2,17046,1066,1862,8485,2339,3294,361,23,39,180,49,70,238,14,27,122,33,44,15858,1055,1839,8374,1948,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran (Islamic Republic of),IRN,35.1,34.4,35.6,27178,2727,937,16523,4364,2626,34,3,1,21,5,3,49,5,2,30,8,5,659779,108160,24859,361456,99996,65308,822,135,31,450,125,81,1069,155,39,598,166,110,628677,106665,24552,358610,90704,48146,1147,179,76,567,169,156,1,0,0,1,0,0,2,0,0,1,0,0,30584,7212,2026,13108,3821,3860,38,9,3,16,5,5,48,10,3,21,6,7
Iraq,IRQ,57.7,60.1,54.8,12575,2585,622,6773,1983,613,34,7,2,18,5,2,72,7,4,45,13,4,465208,202270,17007,170491,55674,19765,1250,544,46,458,150,53,1874,369,99,978,312,116,451064,201001,16894,169124,51633,12411,742,208,56,325,105,48,2,1,0,1,0,0,4,1,0,2,1,0,31581,16381,1523,8599,2944,1518,85,44,4,23,8,4,115,30,9,48,16,9
Iceland,ISL,5.9,5.9,6,56,3,4,32,8,8,17,1,1,10,2,3,9,0,1,5,1,1,911,37,88,493,130,163,274,11,26,148,39,49,168,6,17,92,23,29,839,36,86,486,108,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,19.5,19.4,21.1,1904,417,241,664,260,323,23,5,3,8,3,4,15,3,2,5,2,3,33617,5915,5518,11207,4936,6040,410,72,67,137,60,74,320,52,58,108,47,56,31129,5874,5465,10952,4052,4786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,ITA,15.3,15.7,11.1,28924,2095,3287,12894,5741,4907,49,4,6,22,10,8,15,1,2,7,3,2,429896,24390,67141,187887,79617,70860,723,41,113,316,134,119,296,15,53,135,51,43,406717,24178,66125,185357,71988,59069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,JAM,13.3,13.6,12.5,654,69,39,251,226,69,23,2,1,9,8,2,18,2,1,7,6,2,13011,1470,945,4811,4415,1370,452,51,33,167,153,48,407,48,31,150,136,42,12533,1444,935,4745,4229,1180,292,57,42,72,79,43,10,2,1,3,3,1,8,2,1,2,2,1,6287,1208,1010,1463,1608,846,218,42,35,51,56,29,199,40,33,46,51,26
Jordan,JOR,32.1,31.7,38,2422,312,102,1407,447,154,26,3,1,15,5,2,50,5,2,29,10,4,72159,14870,2838,38561,11422,4469,763,157,30,408,121,47,1236,166,53,707,222,89,69889,14716,2817,38304,10770,3283,68,14,5,32,11,6,1,0,0,0,0,0,1,0,0,1,0,0,2217,669,146,918,296,174,23,7,2,10,3,2,36,7,3,16,6,3
Japan,JPN,11.4,11.8,9.3,54780,15234,5404,15787,10417,7939,43,12,4,12,8,6,12,3,1,4,2,2,828288,172417,94339,252201,177818,131514,648,135,74,197,139,103,253,42,29,88,59,35,760647,171553,92542,248147,152931,95475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,11.3,14.5,10.4,8636,335,285,5577,1727,713,48,2,2,31,10,4,53,2,2,35,11,4,213487,14908,7760,129224,43973,17623,1187,83,43,718,244,98,1244,77,44,760,258,105,208447,14765,7708,128710,41450,15814,1771,153,175,857,333,252,10,1,1,5,2,1,11,1,1,5,2,2,47251,6877,4751,20742,8612,6120,263,38,26,115,48,34,271,36,27,121,50,36
Kenya,KEN,25.9,25.8,26.1,7135,4356,72,1241,970,494,15,9,0,3,2,1,30,13,0,7,6,3,360194,282459,2054,32433,27372,15876,743,583,4,67,56,33,888,509,10,156,131,82,351521,281735,2027,31643,25878,10238,15140,10083,229,1954,1810,1064,31,21,0,4,4,2,60,31,1,11,10,7,804293,655943,6509,50778,49460,33936,1660,1354,13,105,102,70,1913,1177,32,245,238,177
Kyrgyz Republic,KGZ,18.1,17.4,18.7,2917,174,61,1817,610,254,49,3,1,31,10,4,74,3,2,48,15,7,75906,13118,1783,39288,16311,5406,1275,220,30,660,274,91,1695,170,42,967,381,136,74420,13018,1770,39134,15629,4869,1734,179,81,888,361,225,29,3,1,15,6,4,43,3,2,23,9,6,50473,13596,2354,19788,9725,4707,847,228,40,332,163,79,1063,175,55,482,225,118
Cambodia,KHM,24,24.9,21.5,5113,1556,180,1442,1483,451,32,10,1,9,9,3,56,15,2,16,17,6,174067,71004,5128,41425,40912,15598,1104,450,33,263,260,99,1509,494,50,393,406,166,166097,70697,5074,41145,39511,9671,10412,3754,593,2254,2826,984,66,24,4,14,18,6,114,37,6,25,32,13,372442,171611,16887,64525,76443,34012,2363,1089,107,409,485,216,3192,1193,163,614,758,362
Kiribati,KIR,10.5,10.9,10.4,26,6,1,10,7,2,22,5,1,9,6,2,37,6,1,15,11,4,1050,370,23,340,233,83,918,324,20,298,204,73,1163,274,31,430,306,122,1011,369,23,339,223,57,85,27,5,23,21,9,74,24,5,20,18,8,117,28,8,34,31,16,3778,1845,167,764,663,314,3303,1613,146,668,580,275,3930,1361,226,971,870,460
Saint Kitts and Nevis,KNA,12.3,12.3,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,KOR,24.6,24.7,23.7,15825,3842,2679,3870,3315,2120,31,8,5,8,7,4,18,4,3,5,4,2,318068,51665,56351,79410,75482,55161,626,102,111,156,149,109,394,62,69,101,95,67,280186,51208,55367,78166,64492,30955,2279,687,611,327,322,331,4,1,1,1,1,1,3,1,1,0,0,0,44427,9137,12788,6964,6899,8299,87,18,25,14,14,16,55,11,16,9,9,10
Kuwait,KWT,57.2,58.9,52.5,1491,367,61,824,169,71,37,9,1,20,4,2,104,38,5,42,12,7,47822,9167,1564,29016,5390,2686,1180,226,39,716,133,66,2165,644,98,1020,258,146,46145,9081,1556,28819,4971,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,LAO,24.5,25.5,23.7,2635,636,72,1033,634,260,39,9,1,15,9,4,68,12,2,28,18,8,101019,42539,2158,29568,18370,8384,1495,629,32,438,272,124,1991,566,52,707,443,223,97421,42458,2135,29451,17744,5633,5757,1706,263,1820,1335,632,85,25,4,27,20,9,146,31,7,50,37,20,237432,114312,7877,51710,37907,20348,3513,1691,117,765,561,301,4557,1519,189,1242,915,540
Lebanon,LBN,30.7,30.7,29.7,3124,148,167,2291,268,250,52,2,3,38,4,4,51,2,3,38,4,4,70802,3692,4345,50177,6638,5948,1179,61,72,835,111,99,1193,63,74,846,112,99,68126,3573,4291,49878,5997,4386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberia,LBR,17.2,17,17.4,1088,512,4,343,177,53,24,11,0,7,4,1,50,17,0,20,10,3,47493,32218,130,8669,4919,1558,1029,698,3,188,107,34,1346,602,5,428,232,79,46858,32160,127,8606,4765,1199,3210,1864,19,705,455,167,70,40,0,15,10,4,140,61,1,41,25,10,154545,117615,670,17722,12411,4856,3350,2549,15,384,269,105,3993,2190,27,879,583,246
Libya,LBY,44.2,41.7,44.9,2725,324,162,1639,381,220,43,5,3,26,6,3,72,8,4,43,10,6,76926,11297,4546,44081,10794,6208,1222,180,72,700,172,99,1754,221,111,1021,245,155,73996,11111,4504,43797,9992,4591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Lucia,LCA,21.2,21.2,19,61,10,2,22,18,9,34,5,1,12,10,5,27,4,1,10,8,4,1389,208,66,513,374,227,780,117,37,288,210,128,682,110,33,253,178,109,1348,205,65,508,360,210,7,2,0,2,2,1,4,1,0,1,1,1,3,1,0,1,1,1,166,38,15,42,34,33,93,21,8,24,19,19,82,20,7,21,16,16
Sri Lanka,LKA,15.2,15.1,17.3,5669,582,102,3282,1038,665,27,3,0,16,5,3,24,3,0,14,5,3,149706,16733,2810,83498,25110,21554,720,80,14,401,121,104,636,76,12,351,107,91,139148,16535,2785,82991,23129,13708,14507,2278,571,6809,2641,2207,70,11,3,33,13,11,63,10,2,29,11,10,391533,65357,15741,172368,61552,70951,1883,314,76,829,296,341,1671,297,65,724,262,299
Lesotho,LSO,27.8,28.1,27.3,1051,423,6,241,215,166,48,19,0,11,10,8,77,23,0,20,18,14,40613,25276,175,5890,5247,4026,1843,1147,8,267,238,183,2265,1023,14,475,421,332,39778,25229,166,5859,5143,3381,1774,830,14,308,324,297,81,38,1,14,15,13,126,46,1,26,27,26,73567,49917,453,7567,7904,7234,3338,2265,21,343,359,328,3930,2012,36,610,633,597
Lithuania,LTU,11.5,12.3,10.9,2388,75,91,1673,477,73,82,3,3,58,16,3,34,1,2,23,7,1,42748,1844,2167,28477,8659,1601,1470,63,74,979,298,55,761,44,42,498,149,28,41307,1806,2142,28288,7767,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,10.2,10.4,8.8,130,11,15,61,19,25,23,2,3,11,3,4,12,1,2,5,2,2,2355,135,330,1089,346,454,409,24,57,189,60,79,248,12,38,118,34,46,2174,134,325,1072,281,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,LVA,12.7,14.4,10.8,1640,52,76,1031,437,45,83,3,4,52,22,2,35,1,2,22,9,1,30781,1414,1810,18702,7789,1067,1562,72,92,949,395,54,811,53,51,489,191,28,29633,1389,1789,18586,7006,863,321,23,44,160,80,15,16,1,2,8,4,1,7,1,1,3,2,0,6465,613,1043,2987,1396,355,328,31,53,152,71,18,179,23,29,80,35,9
Morocco,MAR,31,31.1,30.4,13088,1857,681,7468,1997,1085,37,5,2,21,6,3,45,6,2,26,7,4,314788,74017,21030,151502,42231,26009,892,210,60,429,120,74,997,207,64,499,140,87,300842,73476,20872,149858,38231,18405,1337,294,124,586,176,157,4,1,0,2,0,0,5,1,0,2,1,1,37065,11831,3838,12476,3722,3742,105,34,11,35,11,11,115,33,12,41,12,12
Monaco,MCO,12.2,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Republic of Moldova,MDA,16,16.5,15.2,3494,165,113,2344,727,144,86,4,3,58,18,4,63,4,2,42,13,3,76095,6930,3224,47128,15845,2968,1874,171,79,1161,390,73,1441,174,58,864,291,54,74484,6860,3202,46926,14903,2594,955,90,81,524,196,65,24,2,2,13,5,2,17,2,1,9,4,1,22718,3790,2282,10892,4261,1320,560,93,56,268,105,33,443,96,41,200,79,24
Madagascar,MDG,21.4,22.5,20.7,6349,2559,103,1456,1579,652,26,10,0,6,6,3,52,14,1,15,15,7,273501,163066,3001,40855,48026,18553,1099,655,12,164,193,75,1500,569,26,342,392,171,268159,162600,2989,40485,47074,15012,16171,7650,415,2725,3647,1733,65,31,2,11,15,7,128,43,4,28,35,19,742128,489298,12113,75565,109207,49399,2981,1965,49,304,439,198,3858,1701,103,639,895,455
Maldives,MDV,7.6,7.7,7.6,45,2,1,29,6,7,11,0,0,7,1,2,19,1,0,12,2,3,1052,58,25,630,140,200,246,13,6,147,33,47,410,17,9,248,55,80,960,56,25,625,123,130,17,2,1,7,2,5,4,0,0,2,0,1,7,1,0,3,1,2,449,59,35,160,43,142,105,14,8,38,10,33,170,18,13,62,17,57
Mexico,MEX,20.1,20.9,14.4,28739,4045,837,14692,4030,5136,23,3,1,12,3,4,25,3,1,13,4,4,681512,134148,20171,337502,95959,93733,534,105,16,265,75,73,600,110,19,301,85,85,657816,133714,19935,334575,90672,78919,15680,3419,956,5659,1835,3810,12,3,1,4,1,3,14,3,1,5,2,3,394455,114150,23187,136409,44883,69179,309,90,18,107,35,54,344,93,21,121,40,63
Marshall Islands,MHL,9.4,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Republic of North Macedonia,MKD,28.3,33,24.6,1451,31,140,610,516,154,70,1,7,29,25,7,46,1,4,20,16,5,33354,1094,3911,14185,10758,3406,1603,53,188,682,517,164,1122,57,129,478,349,109,31939,1060,3877,14052,10019,2931,1356,40,226,462,448,180,65,2,11,22,22,9,43,2,7,15,14,6,32075,1411,6339,10939,9135,3966,1541,68,305,526,439,191,1087,74,209,371,297,127
Mali,MLI,31.2,29,32.7,7366,3692,29,1817,1105,723,41,21,0,10,6,4,82,20,0,32,18,13,396308,289976,1003,49247,34611,21472,2202,1611,6,274,192,119,2485,1004,13,706,454,309,392888,289746,992,49054,33917,19179,14971,8197,86,3016,2160,1512,83,46,0,17,12,8,159,44,1,53,35,26,846632,645220,3023,80977,66398,44732,4705,3586,17,450,369,249,5053,2224,38,1170,874,644
Malta,MLT,14,14,10.1,187,23,15,103,26,20,44,5,4,24,6,5,20,2,2,11,3,2,3224,292,331,1797,441,362,751,68,77,419,103,84,391,36,41,221,52,41,3063,291,327,1778,381,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,MMR,34.7,34.6,34.8,25483,5259,1566,5762,7492,5404,48,10,3,11,14,10,66,12,4,15,19,16,853847,305197,43640,151112,203771,150127,1615,577,83,286,385,284,1904,613,98,348,470,376,806383,304582,43243,149743,196365,112449,44573,10228,4106,8188,12310,9741,84,19,8,15,23,18,114,23,10,21,32,28,1589945,595759,114528,214057,327646,270696,3006,1127,217,405,620,512,3550,1196,256,493,756,677
Montenegro,MNE,20.2,19.3,20.6,486,10,41,228,175,31,77,2,7,36,28,5,43,1,4,20,15,3,9453,219,1250,4296,3097,591,1504,35,199,683,493,94,939,27,141,422,294,55,9122,208,1240,4249,2935,490,449,15,80,166,150,39,71,2,13,26,24,6,41,1,9,15,13,3,9368,318,2421,3168,2647,736,1490,51,385,504,421,117,955,39,274,314,254,69
Mongolia,MNG,40.4,49.5,36.9,1477,95,75,752,503,51,49,3,2,25,17,2,79,3,4,43,26,3,47112,6415,2045,20925,16149,1579,1556,212,68,691,533,52,2073,182,104,996,711,81,46114,6356,2025,20815,15705,1213,1799,146,146,808,625,74,59,5,5,27,21,2,95,5,8,46,32,5,58828,9896,3933,22588,19884,2269,1943,327,130,746,657,75,2552,279,201,1071,870,117
Mozambique,MOZ,19.4,18.4,20.1,5670,3095,40,1171,1049,314,20,11,0,4,4,1,35,12,0,11,9,3,287994,219593,1094,29425,28304,9577,999,762,4,102,98,33,1078,540,9,231,220,78,283315,219220,1078,29008,27388,6620,15238,9548,175,2220,2444,851,53,33,1,8,8,3,89,38,1,20,21,8,838127,679212,4749,55247,64405,25874,2907,2356,16,192,223,90,2926,1665,37,436,501,212
